Partlist

Exported from Tribble.sch at 5/22/2013 1:43:17 PM

EAGLE Version 6.2.0 Copyright (c) 1988-2012 CadSoft

Assembly variant: 

Part     Value                    Device                          Package                Library               Sheet

AUX2                              PH_1X06SMALL_PTH                HEADER_01X06_SMALL_PTH PP_Connectors         1
C1       .1uF                     CAP_NONPOL0402                  0402_CAP               parkers_parts         1
C2       .1uF                     CAP_NONPOL0402                  0402_CAP               parkers_parts         1
C3       6pF                      CAP0402                         C0402                  SparkFun              1
C4       6pF                      CAP0402                         C0402                  SparkFun              1
C5       .1uF                     CAP_NONPOL0402                  0402_CAP               parkers_parts         1
C6       .1uF                     CAP_NONPOL0402                  0402_CAP               parkers_parts         1
C7       .1uF                     CAP_NONPOL0402                  0402_CAP               parkers_parts         1
C8       .1uF 35V                 CAP_NONPOL0402                  0402_CAP               parkers_parts         1
C9       .1uF 35V                 CAP_NONPOL0402                  0402_CAP               parkers_parts         1
C10      .1uF 35V                 CAP_NONPOL0402                  0402_CAP               parkers_parts         1
C11      .1uF 35V                 CAP_NONPOL0402                  0402_CAP               parkers_parts         1
C12      100uF                    CAPACITOR_POLARIZED6.3MM_SMD    6.3MM_CAP_SMD          PP_Passives           1
C13      .1uF                     CAP_NONPOL0402                  0402_CAP               parkers_parts         1
C14      .1uF                     CAP_NONPOL0402                  0402_CAP               parkers_parts         1
C15      1uF                      CAP_NONPOL0402                  0402_CAP               parkers_parts         1
C16      .1uF                     CAP_NONPOL0402                  0402_CAP               parkers_parts         1
C17      2.2uF                    CAP_POL1206                     EIA3216                SparkFun              1
C18      10uF                     CAP_POL1206                     EIA3216                SparkFun              1
C19      .1uF                     CAP_NONPOL0402                  0402_CAP               parkers_parts         1
C20      .1uF                     CAP_NONPOL0402                  0402_CAP               parkers_parts         1
C21      .1uF                     CAP_NONPOL0402                  0402_CAP               parkers_parts         1
C22      .1uF                     CAP_NONPOL0402                  0402_CAP               parkers_parts         1
